year,drought,earthquake,extreme_temperature,flood,landslide,mass_movement,storm,volcanic_activity,total
1960,0,8,0,4,1,0,21,1,35
1961,0,1,0,3,1,0,38,0,43
1962,0,2,0,1,0,1,7,0,11
1963,0,18,0,3,2,1,32,2,58
1964,4,12,0,20,0,0,19,1,56
1965,4,8,0,19,6,0,83,0,120
1966,5,9,2,21,3,0,65,3,108
1967,2,10,0,49,2,0,34,0,97
1968,0,17,0,18,4,0,59,1,99
1969,8,8,0,56,1,0,30,2,105
1970,0,16,0,36,5,0,25,0,82
1971,0,7,0,18,4,1,18,2,50
1972,1,5,2,9,4,0,53,0,74
1973,4,12,5,17,3,0,37,1,79
1974,1,5,0,25,7,0,42,0,80
1975,0,3,1,25,4,0,28,2,63
1976,2,19,0,20,5,0,25,1,72
1977,3,21,0,32,2,0,31,4,93
1978,9,10,0,23,1,0,40,1,84
1979,9,32,4,21,8,0,25,5,104
1980,4,61,6,75,4,2,45,2,199
1981,17,20,0,35,3,0,78,1,154
1982,14,18,1,60,13,1,87,2,196
1983,20,82,1,44,10,3,76,5,241
1984,9,20,0,71,3,0,76,10,189
1985,2,34,5,116,3,2,79,8,249
1986,2,26,5,112,5,0,98,3,251
1987,44,23,3,94,14,2,147,1,328
1988,22,24,2,176,19,3,130,4,380
1989,12,31,1,90,13,0,147,1,295
1990,23,60,13,123,4,2,203,2,430
1991,11,43,8,233,9,2,214,12,532
1992,8,46,2,174,11,9,217,7,474
1993,14,19,3,263,25,3,255,8,590
1994,17,82,8,255,20,0,220,6,608
1995,13,65,36,279,31,0,215,2,641
1996,9,22,5,317,27,0,205,3,588
1997,77,24,12,280,23,0,196,4,616
1998,25,53,25,311,28,0,247,3,692
1999,106,70,30,365,16,0,324,12,923
2000,186,47,254,553,40,2,342,8,1432
2001,155,75,128,522,34,0,322,18,1254
2002,173,54,75,578,40,1,465,16,1402
2003,103,80,198,668,42,0,492,8,1591
2004,72,143,148,491,17,1,503,8,1383
2005,104,71,242,809,14,0,330,15,1585
2006,45,58,270,736,58,1,268,50,1486
2007,48,55,257,961,14,0,351,10,1696
2008,104,48,62,842,16,4,419,28,1523
2009,384,81,210,750,38,2,547,6,2018
2010,152,47,229,871,64,0,436,19,1818
2011,141,94,182,776,27,0,400,18,1638
2012,199,82,554,593,17,1,389,3,1838
2013,53,76,104,718,14,1,391,5,1362
2014,147,53,150,561,26,0,461,33,1431
2015,186,94,66,771,52,1,577,18,1765
2016,114,79,110,843,46,0,474,0,1666
2017,46,69,59,950,57,2,826,2,2011
2018,25,51,28,461,22,1,359,18,965
